"","Event","Latitude","Longitude","Date.Time","Depth.water..m.","Press..dbar.","Temp....C.","Sal","Substrate","Subtransect","Dive.no","Morphospecies....","Cnidaria....","Arthropoda....","Bryozoa....","Chordata....","Echinod....","Porifera....","Foram.plankt....","Invert.other....","H.","J.","S","FOV.camera..m.","Slope..deg."
"33","TOSCA_ROV05",57.15312,58.12975,"2018-05-25",2271.81,2304.35,3.18,34.94,"gravel",35,5,43,1,1,0,0,1,40,0,0,1.13,0.544,8,4.18,17.76
"34","TOSCA_ROV05",57.15104,58.12976,"2018-05-25",2260.81,2304.22,3.18,34.94,"bedrock",36,5,39,2,1,1,1,0,34,0,0,1.692,0.735,10,3.76,19.57
"35","TOSCA_ROV05",57.14964,58.12969,"2018-05-25",2260.81,2298.17,3.16,34.94,"bedrock",37,5,67,8,0,1,0,5,53,0,0,2.143,0.728,19,4.4,19.57
"36","TOSCA_ROV05",57.14787,58.12957,"2018-05-25",2249.86,2283.68,3.18,34.94,"bedrock",38,5,62,5,0,0,0,6,51,0,0,2.354,0.831,17,3.88,13.89
"37","TOSCA_ROV05",57.14506,58.1294,"2018-05-25",2249.2,2277.89,3.16,34.94,"gravel",39,5,48,1,0,0,0,0,47,0,0,1.597,0.666,11,3.47,13.2
"38","TOSCA_ROV05",57.1425,58.12927,"2018-05-25",2239.8,2276.28,3.15,34.94,"boulders",40,5,31,1,0,0,0,1,29,0,0,1.671,0.726,10,3.73,11.03
"39","TOSCA_ROV05",57.13991,58.1291,"2018-05-25",2239.8,2274.92,3.15,34.94,"bedrock",41,5,0,0,0,0,0,0,0,0,0,0,0,0,3.93,11.03
"40","TOSCA_ROV05",57.13832,58.12897,"2018-05-25",2236.92,2272.73,3.15,34.95,"boulders",42,5,0,0,0,0,0,0,0,0,0,0,0,0,4.18,4.19
"41","TOSCA_ROV05",57.13533,58.12877,"2018-05-25",2237.71,2269.36,3.16,34.94,"boulders",43,5,0,0,0,0,0,0,0,0,0,0,0,0,4.45,5.07
"42","TOSCA_ROV05",57.133,58.12865,"2018-05-25",2234.39,2266.23,3.16,34.94,"boulders",44,5,2,0,0,0,0,1,1,0,0,0.693,1,2,4.65,3.94
"43","TOSCA_ROV05",57.13167,58.12852,"2018-05-25",2234.39,2263.11,3.18,34.94,"gravel",45,5,3,1,0,0,0,1,1,0,0,1.099,1,3,4.87,3.94
"44","TOSCA_ROV05",57.12913,58.12836,"2018-05-25",2233.47,2260.5,3.2,34.94,"gravel",46,5,13,0,0,0,0,3,10,0,0,0.794,0.573,4,4.46,6.2
"45","TOSCA_ROV05",57.12701,58.12817,"2018-05-25",2225.23,2256.88,3.23,34.94,"gravel",47,5,23,1,0,0,0,3,19,0,0,0.813,0.505,5,3.77,7.51
"46","TOSCA_ROV05",57.12455,58.12794,"2018-05-25",2230.83,2253.87,3.23,34.94,"gravel",48,5,16,1,0,0,0,1,14,0,0,0.463,0.422,3,3.92,7.89
"47","TOSCA_ROV05",57.12167,58.12772,"2018-05-25",2222.45,2250.28,3.23,34.94,"gravel",49,5,54,1,0,0,1,0,52,0,0,0.276,0.199,4,4.23,12.04
"48","TOSCA_ROV05",57.11921,58.12748,"2018-05-25",2220.17,2246.52,3.23,34.94,"gravel",50,5,38,0,1,0,0,2,35,0,0,0.482,0.3,5,4.09,9.85
"49","TOSCA_ROV05",57.11729,58.12726,"2018-05-25",2215.74,2243.44,3.24,34.94,"sand",51,5,31,2,0,0,1,3,25,0,0,0.732,0.455,5,3.68,13.35
"50","TOSCA_ROV05",57.11569,58.12712,"2018-05-25",2211.68,2235.51,3.25,34.94,"gravel",52,5,38,0,0,0,0,1,37,0,0,1.207,0.673,6,3.54,16.74
"51","TOSCA_ROV05",57.11405,58.1269,"2018-05-25",2191.02,2222.54,3.26,34.94,"sand",53,5,114,4,1,3,0,3,103,0,0,1.286,0.464,16,3.36,22.2
"52","TOSCA_ROV05",57.11246,58.12665,"2018-05-25",2185.76,2218.31,3.26,34.94,"sand",54,5,105,2,1,0,0,7,95,0,0,1.505,0.587,13,2.75,15.86
"53","TOSCA_ROV05",57.10999,58.12641,"2018-05-25",2183.81,2208.44,3.26,34.94,"boulders",55,5,177,0,0,0,0,7,170,0,0,1.181,0.475,12,2.47,13.32
"54","TOSCA_ROV05",57.10663,58.12627,"2018-05-25",2170.6,2186.92,3.27,34.94,"gravel",56,5,109,2,1,3,0,5,98,0,0,1.698,0.612,16,3.6,19.57
"55","TOSCA_ROV05",57.10469,58.1261,"2018-05-25",2164.33,2181.58,3.26,34.94,"boulders",57,5,51,0,0,1,0,1,49,0,0,0.414,0.299,4,4.6,17.65
"56","TOSCA_ROV05",57.10157,58.1259,"2018-05-25",2154.18,2174.3,3.23,34.94,"sand",58,5,48,1,1,0,0,1,45,0,0,0.402,0.25,5,5.04,7.96
"57","TOSCA_ROV05",57.09753,58.12578,"2018-05-25",2151.1,2167.68,3.24,34.94,"sand",59,5,40,0,0,0,0,2,38,0,0,0.233,0.212,3,NA,8.61
"58","TOSCA_ROV05",57.09452,58.12567,"2018-05-25",2141.7,2163.82,3.24,34.94,"gravel",60,5,125,10,0,55,0,1,59,0,0,1.977,0.671,19,8.67,12.79
"59","TOSCA_ROV05",57.09115,58.12556,"2018-05-25",2133.7,2160.97,3.24,34.94,"bedrock",61,5,82,4,0,1,0,3,74,0,0,2.146,0.757,17,14.09,7.93
"60","TOSCA_ROV05",57.08872,58.12549,"2018-05-25",2133.7,2158.42,3.24,34.94,"gravel",62,5,47,0,1,0,0,0,46,0,0,0.205,0.187,3,17.14,7.93
"61","TOSCA_ROV05",57.08699,58.12546,"2018-05-25",2127.77,2156.06,3.25,34.94,"gravel",63,5,59,0,1,0,0,0,58,0,0,0.086,0.124,2,14.11,7.66
"62","TOSCA_ROV05",57.08479,58.12542,"2018-05-25",2125.64,2153,3.25,34.94,"gravel",64,5,62,0,1,0,0,0,61,0,0,0.083,0.119,2,15.27,6.92
"63","TOSCA_ROV05",57.08162,58.12532,"2018-05-25",2122.61,2153.26,3.25,34.93,"bedrock",65,5,148,1,1,0,3,0,143,0,0,0.251,0.156,5,10.59,6.6
"64","TOSCA_ROV05",57.07956,58.12526,"2018-05-25",2122.61,2152.43,3.23,34.94,"sand",66,5,20,0,0,0,0,0,20,0,0,0,NA,1,4.56,6.6
"65","TOSCA_ROV05",57.07906,58.12526,"2018-05-25",2122.01,2151.69,3.22,34.94,"sand",67,5,37,0,0,0,0,0,37,0,0,0,NA,1,4.82,7.35
"66","TOSCA_ROV05",57.0775,58.12521,"2018-05-25",2122.01,2147.12,3.23,34.94,"sand",68,5,73,0,2,0,1,0,70,0,0,0.198,0.18,3,5.46,7.35
"67","TOSCA_ROV05",57.07425,58.12518,"2018-05-25",2118.57,2133.17,3.22,34.94,"sand",69,5,92,1,1,0,0,0,90,0,0,0.12,0.109,3,9.5,9.31
"68","TOSCA_ROV05",57.06993,58.12512,"2018-05-25",2101.87,2130.44,3.22,34.94,"bedrock",70,5,158,43,2,13,0,6,94,0,0,2.988,0.879,30,5.6,13.85
"69","TOSCA_ROV05",57.06558,58.12512,"2018-05-25",2098.2,2136.52,3.21,34.94,"boulders",71,5,26,3,0,0,1,0,22,0,0,1.83,0.88,8,7.76,7.04
"70","TOSCA_ROV05",57.06167,58.12523,"2018-05-25",2101.42,2137.92,3.2,34.94,"gravel",72,5,45,8,0,0,0,0,37,0,0,1.517,0.729,8,9.95,6.52
"71","TOSCA_ROV05",57.05793,58.12529,"2018-05-25",2107.91,2136.39,3.19,34.94,"bedrock",73,5,70,0,0,0,1,0,69,0,0,0.075,0.108,2,7.94,5.54
"72","TOSCA_ROV05",57.05403,58.12528,"2018-05-25",2107.07,2137.18,3.15,34.94,"gravel",74,5,61,0,1,0,1,2,57,0,0,0.475,0.265,6,10.79,2.13
"73","TOSCA_ROV05",57.04962,58.12525,"2018-05-25",2108.65,2139.55,3.15,34.94,"sand",75,5,36,0,1,0,0,1,34,0,0,0.378,0.273,4,16.68,2.18
"74","TOSCA_ROV05",57.04537,58.12521,"2018-05-25",2110.06,2141.99,3.15,34.94,"sand",76,5,33,0,0,0,0,1,32,0,0,0.136,0.196,2,13.26,3.19
"75","TOSCA_ROV05",57.0413,58.12525,"2018-05-25",2111.92,2143.1,3.15,34.94,"sand",77,5,39,0,1,0,0,0,38,0,0,0.119,0.172,2,15.11,1.89
"76","TOSCA_ROV05",57.03851,58.12526,"2018-05-25",2111.95,2145.11,3.14,34.94,"sand",78,5,20,0,0,0,4,0,16,0,0,0.613,0.558,3,12.02,3.4
"77","TOSCA_ROV05",57.03657,58.12528,"2018-05-25",2116.12,2146.57,3.14,34.94,"sand",79,5,60,0,0,0,0,2,58,0,0,0.169,0.154,3,14.4,4.13
"78","TOSCA_ROV05",57.03291,58.12531,"2018-05-25",2116,2147.41,3.14,34.94,"sand",80,5,57,0,0,0,1,0,56,0,0,0.088,0.127,2,16.58,2.86
"79","TOSCA_ROV05",57.03093,58.12533,"2018-05-25",2118.63,2148.7,3.14,34.94,"sand",81,5,51,0,0,0,1,0,50,0,0,0.097,0.139,2,18.57,4.26
"80","TOSCA_ROV05",57.02823,58.12555,"2018-05-25",2120.25,2149.43,3.13,34.94,"sand",82,5,79,0,0,0,0,0,79,0,0,0,NA,1,17.46,3.02
"81","TOSCA_ROV05",57.02457,58.12577,"2018-05-25",2120.04,2149.17,3.13,34.94,"sand",83,5,88,0,0,0,0,0,88,0,0,0,NA,1,17.28,1.43
"82","TOSCA_ROV05",57.0217,58.12593,"2018-05-25",2119.89,2148.08,3.13,34.94,"sand",84,5,58,0,0,0,0,0,58,0,0,0,NA,1,15.9,1.6
"83","TOSCA_ROV05",57.01847,58.12611,"2018-05-25",2118.37,2146.14,3.12,34.94,"sand",85,5,100,0,0,0,0,0,100,0,0,0,NA,1,6.08,2.13
"84","TOSCA_ROV05",57.01548,58.12631,"2018-05-25",2118.25,2143.96,3.13,34.94,"gravel",86,5,121,0,1,0,0,0,120,0,0,0.048,0.069,2,5.75,2
"85","TOSCA_ROV05",57.01356,58.12646,"2018-05-25",2116.89,2142.23,3.13,34.94,"gravel",87,5,55,0,0,0,1,0,54,0,0,0.181,0.165,3,3.23,2.63
"86","TOSCA_ROV05",57.01146,58.12656,"2018-05-25",2117.62,2140.81,3.13,34.94,"gravel",88,5,61,0,0,0,0,0,61,0,0,0,NA,1,5.27,3.22
"87","TOSCA_ROV05",57.0098,58.12672,"2018-05-25",2114,2138.39,3.13,34.95,"gravel",89,5,66,0,0,0,0,0,66,0,0,0,NA,1,11.17,5.29
"88","TOSCA_ROV05",57.00758,58.12695,"2018-05-25",2114,2134.6,3.13,34.94,"gravel",90,5,72,0,0,0,0,0,72,0,0,0,NA,1,12.23,5.29
"89","TOSCA_ROV05",57.00514,58.12721,"2018-05-25",2109.85,2129.74,3.13,34.94,"gravel",91,5,77,1,0,0,0,0,76,0,0,0.189,0.172,3,5.52,5.07
"90","TOSCA_ROV05",57.00273,58.12745,"2018-05-25",2105.26,2125.05,3.13,34.94,"gravel",92,5,87,0,2,0,0,0,85,0,0,0.125,0.114,3,12.51,6.39
"91","TOSCA_ROV05",57.00002,58.12775,"2018-05-25",2099.88,2121.54,3.13,34.94,"gravel",93,5,47,0,0,0,0,1,46,0,0,0.278,0.253,3,8.37,7.54
"92","TOSCA_ROV05",56.99723,58.12808,"2018-05-25",2094.41,2116.77,3.13,34.94,"sand",94,5,55,1,0,0,0,1,53,0,0,0.361,0.225,5,13.43,7.44
"93","TOSCA_ROV05",56.99508,58.12834,"2018-05-25",2090.85,2112.29,3.14,34.94,"sand",95,5,44,0,0,0,0,1,43,0,0,0.431,0.268,5,14.28,7.08
"94","TOSCA_ROV05",56.99247,58.1287,"2018-05-25",2082.39,2109.28,3.14,34.94,"biogenic gravels",96,5,54,3,0,0,0,8,43,0,0,1.641,0.684,11,13.49,10.69
"95","TOSCA_ROV05",56.99066,58.12895,"2018-05-25",2082.36,2106.71,3.15,34.94,"bedrock",97,5,11,0,1,0,0,0,10,0,0,0.76,0.691,3,4.52,8.77
"96","TOSCA_ROV05",56.98883,58.1292,"2018-05-25",2077.76,2104.67,3.15,34.94,"bedrock",98,5,2,0,0,0,0,0,2,0,0,0,NA,1,3.67,7.85
"97","TOSCA_ROV05",56.98749,58.12949,"2018-05-25",2075.86,2102,3.16,34.94,"gravel",99,5,18,0,1,0,0,0,17,0,0,0.215,0.31,2,2.8,5.67
"98","TOSCA_ROV05",56.98592,58.12979,"2018-05-25",2075.72,2100.06,3.16,34.94,"gravel",100,5,8,1,0,0,0,0,7,0,0,0.377,0.544,2,3.11,7.3
"99","TOSCA_ROV05",56.98413,58.13015,"2018-05-25",2073.99,2096.28,3.17,34.94,"gravel",101,5,14,2,0,0,0,0,12,0,0,0.509,0.463,3,2.93,7.66
"100","TOSCA_ROV05",56.98204,58.13048,"2018-05-25",2067.47,2087.76,3.2,34.94,"gravel",102,5,16,0,0,0,0,4,12,0,0,0.736,0.67,3,2.52,7.39
"101","TOSCA_ROV05",56.97859,58.13065,"2018-05-25",2063.4,2078.1,3.24,34.94,"gravel",103,5,10,1,0,0,0,4,5,0,0,1.359,0.845,5,2.66,9.74
"102","TOSCA_ROV05",56.975,58.13071,"2018-05-25",2057.21,2069.34,3.26,34.94,"gravel",104,5,9,1,0,0,0,3,5,0,0,0.937,0.853,3,2.89,10.25
"103","TOSCA_ROV05",56.97068,58.13072,"2018-05-25",2049.06,2061.59,3.27,34.94,"gravel",105,5,11,1,1,0,0,1,8,0,0,0.886,0.639,4,3,12.93
"104","TOSCA_ROV05",56.96635,58.13074,"2018-05-25",2039.83,2053.53,3.28,34.94,"biogenic gravels",106,5,38,0,0,0,1,21,16,0,0,1.223,0.683,6,2.95,13.94
"105","TOSCA_ROV05",56.96355,58.13076,"2018-05-25",2032.43,2044.68,3.29,34.93,"biogenic gravels",107,5,9,0,0,0,0,1,8,0,0,0.684,0.622,3,2.86,17.36
"106","TOSCA_ROV05",56.96098,58.13079,"2018-05-25",2020.88,2037.88,3.28,34.94,"biogenic gravels",108,5,128,3,2,0,0,65,58,0,0,2.309,0.758,21,2.6,17.14
"107","TOSCA_ROV05",56.95873,58.13089,"2018-05-25",2009.95,2031.65,3.29,34.93,"bedrock",109,5,46,4,0,0,0,15,27,0,0,2.362,0.895,14,2.33,18.93
"108","TOSCA_ROV05",56.95762,58.1309,"2018-05-25",2009.95,2016.99,3.3,34.93,"bedrock",110,5,91,10,0,2,0,28,51,0,0,2.455,0.773,24,3.32,18.93
"109","TOSCA_ROV05",56.95507,58.13095,"2018-05-25",2000.56,2002.46,3.31,34.94,"bedrock",111,5,124,16,0,4,0,63,41,0,0,2.629,0.839,23,2.98,19.91
"110","TOSCA_ROV05",56.95351,58.13099,"2018-05-25",2000.56,1993.68,3.31,34.93,"bedrock",112,5,184,34,0,2,0,64,84,0,0,2.533,0.76,28,3.08,19.91
"111","TOSCA_ROV05",56.95117,58.13106,"2018-05-25",1992.03,1985.1,3.31,34.93,"gravel",113,5,48,12,0,0,0,17,19,0,0,2.213,0.839,14,2.7,20.74
"112","TOSCA_ROV05",56.94849,58.13118,"2018-05-25",1976.33,1978.94,3.31,34.93,"bedrock",114,5,185,17,0,2,0,48,118,0,0,2.557,0.745,31,3.01,18.85
"113","TOSCA_ROV05",56.94469,58.13127,"2018-05-25",1967.35,1968.86,3.31,34.93,"gravel",115,5,61,14,0,0,0,15,31,0,1,2.325,0.839,16,3.81,18.64
"114","TOSCA_ROV05",56.94124,58.13126,"2018-05-25",1950.43,1962.38,3.31,34.93,"gravel",116,5,49,6,0,0,0,28,15,0,0,2.278,0.821,16,3.67,19.18
"115","TOSCA_ROV05",56.93794,58.13128,"2018-05-25",1938.58,1961.5,3.32,34.93,"gravel",117,5,22,2,0,0,0,1,19,0,0,1.677,0.806,8,3.87,22.54
"116","TOSCA_ROV05",56.93695,58.13133,"2018-05-25",1938.58,1958.52,3.32,34.93,"bedrock",118,5,0,0,0,0,0,0,0,0,0,0,0,0,3.54,22.54
"117","TOSCA_ROV05",56.93644,58.1313,"2018-05-25",1938.58,1951.63,3.32,34.93,"bedrock",119,5,16,4,0,0,0,3,9,0,0,1.89,0.909,8,3.16,22.54
"118","TOSCA_ROV05",56.93421,58.13136,"2018-05-25",1927.22,1940.21,3.32,34.93,"bedrock",120,5,54,6,0,0,0,15,33,0,0,2.711,0.905,20,2.87,21.2
"119","TOSCA_ROV05",56.93069,58.13143,"2018-05-25",1920.27,1922.08,3.32,34.93,"bedrock",121,5,65,9,0,0,0,17,39,0,0,2.745,0.888,22,3.24,19.5
"120","TOSCA_ROV05",56.92715,58.1315,"2018-05-25",1903.65,1899.49,3.31,34.93,"bedrock",122,5,69,12,1,0,0,11,45,0,0,2.422,0.838,18,4.75,22.43
"121","TOSCA_ROV05",56.92238,58.13161,"2018-05-25",1888.49,1892.26,3.3,34.93,"biogenic gravels",123,5,177,20,0,0,0,16,141,0,0,2.047,0.653,23,4.68,20.23
"122","TOSCA_ROV05",56.91872,58.13168,"2018-05-25",1879.08,1886.99,3.31,34.93,"biogenic gravels",124,5,69,14,0,0,0,18,37,0,0,2.779,0.875,24,3.4,22.41
"123","TOSCA_ROV05",56.91812,58.13169,"2018-05-25",1879.08,1886.03,3.31,34.93,"biogenic gravels",125,5,6,1,0,0,0,1,4,0,0,1.561,0.97,5,3.13,22.41
"124","TOSCA_ROV05",56.91644,58.13173,"2018-05-25",1870.6,1870.71,3.31,34.93,"biogenic gravels",126,5,59,5,0,0,0,13,41,0,0,2.604,0.869,20,3.76,25.36
"125","TOSCA_ROV05",56.91342,58.1318,"2018-05-25",1848.01,1858.71,3.32,34.93,"biogenic gravels",127,5,60,15,0,1,0,12,32,0,0,2.357,0.85,16,2.93,23.15
"126","TOSCA_ROV05",56.91098,58.13191,"2018-05-25",1842.1,1850.02,3.34,34.93,"biogenic gravels",128,5,38,8,0,0,0,9,21,0,0,2.523,0.91,16,2.22,22.93
