/* DATA DESCRIPTION:
Citation:	Tara Oceans Consortium, Coordinators; Tara Oceans Expedition, Participants (2015): Biodiversity context of all samples from the Tara Oceans Expedition (2009-2013) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.853809
	TARA_20090915T1130Z_004_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T11:30:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090915T1400Z_004_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1400Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T14:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1415Z_004_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [neust) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1415Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T14:15:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1500Z_004_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1500Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T15:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1600Z_004_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1600Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T16:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1800Z_004_EVENT_PUMP ([day] [deep chlorophyll maximum layer (ENVO:010003) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T18:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090915T2000Z_004_EVENT_NET ([night] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T2000Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T20:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T2130Z_004_EVENT_NET ([night] [surface water layer (ENVO:00002042)] [neu) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T2130Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T21:30:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Regent, mesh(µm)=680, mouth(m^2)=0.754296, length(m)=4 ([NET-REGENT-680]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T2230Z_004_EVENT_NET ([night] [deep chlorophyll maximum layer (ENVO:0100) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T2230Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T22:30:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Regent, mesh(µm)=680, mouth(m^2)=0.754296, length(m)=4 ([NET-REGENT-680]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090920T1045Z_005_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE START: 36.008800 * LONGITUDE START: -4.518400 * LATITUDE END: 36.016900 * LONGITUDE END: -4.504900 * DATE/TIME START: 2009-09-20T10:45:00 * DATE/TIME END: 2009-09-20T15:30:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
