/* DATA DESCRIPTION:
	TARA_20090907T1610Z_001_EVENT_NET ([day] [surface water layer (ENVO:00002042)]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090907T1610Z_001_EVENT_NET.pdf) * LATITUDE: 44.401300 * LONGITUDE: -9.827300 * DATE/TIME: 2009-09-07T16:10:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5 ([NET-DOUBLE-20]+[SIEVE-180])
	TARA_20090909T1617Z_002_EVENT_CAST ([day] [water layer with no specific feature]) * LATITUDE: 39.056400 * LONGITUDE: -10.980800 * DATE/TIME START: 2009-09-09T16:17:17 * DATE/TIME END: 2009-09-09T00:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) ([CABLE]+[sbe19]) * COMMENT: [Engineer: lower then higher after 60m]
	TARA_20090909T1830Z_002_EVENT_NET ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090909T1830Z_002_EVENT_NET.pdf) * LATITUDE START: 39.056400 * LONGITUDE START: -10.980800 * LATITUDE END: 38.900000 * LONGITUDE END: -10.600000 * DATE/TIME START: 2009-09-09T18:30:00 * DATE/TIME END: 2009-09-09T19:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Regent, mesh(µm)=680, mouth(m^2)=0.754296, length(m)=4 ([NET-REGENT-680]) * COMMENT: [Logsheet: (Gorsky) Too much material - divided in 2 jars A & B - Salps bloom in the upwelling zone]
	TARA_20090913T1040Z_003_EVENT_CAST ([day] [water layer with no specific feature]) * LATITUDE: 36.725300 * LONGITUDE: -10.470800 * DATE/TIME START: 2009-09-13T10:40:44 * DATE/TIME END: 2009-09-13T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) ([CABLE]+[sbe19]) * COMMENT: [Engineer: higher at surf/ not much]
	TARA_20090913T1130Z_003_EVENT_NET ([night] [surface water layer (ENVO:00002042)] [neu) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090913T1130Z_003_EVENT_NET.pdf) * LATITUDE: 36.732000 * LONGITUDE: -10.475000 * DATE/TIME START: 2009-09-13T11:30:00 * DATE/TIME END: 2009-09-13T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300])
	TARA_20090913T1200Z_003_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE: 36.732000 * LONGITUDE: -10.475000 * DATE/TIME START: 2009-09-13T12:00:00 * DATE/TIME END: 2009-09-13T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090913T1656Z_003_EVENT_CAST ([day] [water layer with no specific feature]) * LATITUDE: 36.631000 * LONGITUDE: -10.407300 * DATE/TIME START: 2009-09-13T16:56:08 * DATE/TIME END: 2009-09-13T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) and Niskin bottles (8-L or 12-L) triggered with messengers ([CABLE]+[sbe19]+[NISKIN]) * COMMENT: [Engineer: higher then lower ]
	TARA_20090913T1930Z_003_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090913T1930Z_003_EVENT_NET.pdf) * LATITUDE START: 36.732000 * LONGITUDE START: -10.475000 * LATITUDE END: 36.611200 * LONGITUDE END: -10.366500 * DATE/TIME START: 2009-09-13T19:30:00 * DATE/TIME END: 2009-09-13T20:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300])
	TARA_20090913Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 38.554750 * LONGITUDE START: -9.394280 * LATITUDE END: 35.792780 * LONGITUDE END: -5.786820 * DATE/TIME START: 2009-09-13T00:00:00 * DATE/TIME END: 2009-09-17T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20090913Z_UDW_EVENT_CSSS ([day/night] [surface water layer (ENVO:00002042)]) * LATITUDE START: 38.554750 * LONGITUDE START: -9.394280 * LATITUDE END: 35.792780 * LONGITUDE END: -5.786820 * DATE/TIME START: 2009-09-13T00:00:00 * DATE/TIME END: 2009-09-17T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Continuous Surface Sampling System ([CSSS]) * COMMENT: Device: equipped with [AC-S] spectrophotometer (Wetlabs), [FLUO] chlorophyll fluorometer (WETLabs), [TSG] temperature and conductivity sensor (SeaBird) and [FRRF] Fast Repetition Rate Fluorometry (flow through model)]
	TARA_20090915T1015Z_004_EVENT_CAST ([day] [water layer with no specific feature]) * LATITUDE: 36.553300 * LONGITUDE: -6.566800 * DATE/TIME START: 2009-09-15T10:15:52 * DATE/TIME END: 2009-09-15T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) ([CABLE]+[sbe19]) * COMMENT: [Engineer: higher with sub surface peak @60m] [Curator: No EVENT Logsheet]
	TARA_20090915T1130Z_004_EVENT_PUMP ([day] [surface water layer (ENVO:00002042)]) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T11:30:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: High Volume Peristaltic Pump ([HVP-PUMP]) * COMMENT: [Curator: No EVENT Logsheet]
	TARA_20090915T1400Z_004_EVENT_NET ([day] [deep chlorophyll maximum layer (ENVO:010003) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1400Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T14:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1415Z_004_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [neust) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1415Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T14:15:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300]) * COMMENT: [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
	TARA_20090915T1500Z_004_EVENT_NET ([day] [surface water layer (ENVO:00002042)] [proti) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090915T1500Z_004_EVENT_NET.pdf) * LATITUDE: 36.553300 * LONGITUDE: -6.566900 * DATE/TIME: 2009-09-15T15:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-180]+[SIEVE-2000]) * COMMENT: Device: material from the net was poured through a [SIEVE-2000] type=metal, shape=pan, mesh size (µm)=2000, diameter (cm)=30] [Curator: Time and position of the deployment was not recorded/ We used a single position for all events of station 004 and estimated the times from best experienced guesses (SP)]
